stock_code,historical_name,current_name,exchange,historical_rank,historical_esg_score,decision,reason,requires_review
300274.SZ,阳光电源股份有限公司,阳光电源,SZSE,1,71.98,provisional_include,历史能源样本且当前仍正常上市,False
02688.HK,新奥能源控股有限公司,,HKEX,2,70.01,pending_snapshot,HKEX官方快照尚未接入,True
600900.SH,中国长江电力股份有限公司,长江电力,SSE,3,69.36,provisional_include,历史能源样本且当前仍正常上市,False
000400.SZ,许继电气股份有限公司,许继电气,SZSE,4,68.89,provisional_include,历史能源样本且当前仍正常上市,False
600956.SH,新天绿色能源股份有限公司,新天绿能,SSE,5,67.92,provisional_include,历史能源样本且当前仍正常上市,False
01600.HK,天伦燃气控股有限公司,,HKEX,6,66.78,pending_snapshot,HKEX官方快照尚未接入,True
00135.HK,昆仑能源有限公司,,HKEX,7,66.37,pending_snapshot,HKEX官方快照尚未接入,True
00384.HK,中国燃气控股有限公司,,HKEX,8,65.97,pending_snapshot,HKEX官方快照尚未接入,True
600438.SH,通威股份有限公司,通威股份,SSE,9,65.13,provisional_include,历史能源样本且当前仍正常上市,False
03868.HK,信义能源控股有限公司,,HKEX,10,64.51,pending_snapshot,HKEX官方快照尚未接入,True
00686.HK,北京能源国际控股有限公司,,HKEX,11,64.12,pending_snapshot,HKEX官方快照尚未接入,True
688599.SH,天合光能股份有限公司,天合光能,SSE,12,63.29,provisional_include,历史能源样本且当前仍正常上市,False
600406.SH,国电南瑞科技股份有限公司,国电南瑞,SSE,13,62.6,provisional_include,历史能源样本且当前仍正常上市,False
01798.HK,中国大唐集团新能源股份有限公司,,HKEX,14,62.17,pending_snapshot,HKEX官方快照尚未接入,True
03633.HK,中裕能源控股有限公司,,HKEX,15,62.12,pending_snapshot,HKEX官方快照尚未接入,True
002459.SZ,晶澳太阳能科技股份有限公司,晶澳科技,SZSE,16,61.94,provisional_include,历史能源样本且当前仍正常上市,False
600732.SH,上海爱旭新能源股份有限公司,爱旭股份,SSE,17,61.67,provisional_include,历史能源样本且当前仍正常上市,False
688390.SH,固德威技术股份有限公司,固德威,SSE,18,61.62,provisional_include,历史能源样本且当前仍正常上市,False
601615.SH,明阳智慧能源集团股份公司,明阳智能,SSE,19,61.05,provisional_include,历史能源样本且当前仍正常上市,False
688676.SH,海南金盘智能科技股份有限公司,金盘科技,SSE,20,60.86,provisional_include,历史能源样本且当前仍正常上市,False
002129.SZ,TCL中环新能源科技股份有限公司,TCL中环,SZSE,21,60.4,provisional_include,历史能源样本且当前仍正常上市,False
601727.SH,上海电气集团股份有限公司,上海电气,SSE,22,60.17,provisional_include,历史能源样本且当前仍正常上市,False
00852.HK,海峡石油化工控股有限公司,,HKEX,23,59.92,pending_snapshot,HKEX官方快照尚未接入,True
06828.HK,北京燃气蓝天控股有限公司,,HKEX,24,59.9,pending_snapshot,HKEX官方快照尚未接入,True
600875.SH,东方电气股份有限公司,东方电气,SSE,25,59.84,provisional_include,历史能源样本且当前仍正常上市,False
03899.HK,中集安瑞科控股有限公司,,HKEX,26,59.79,pending_snapshot,HKEX官方快照尚未接入,True
01083.HK,港华智慧能源有限公司,,HKEX,27,59.78,pending_snapshot,HKEX官方快照尚未接入,True
688248.SH,南方电网电力科技股份有限公司,南网科技,SSE,28,59.64,provisional_include,历史能源样本且当前仍正常上市,False
01623.HK,海隆控股有限公司,,HKEX,29,59.5,pending_snapshot,HKEX官方快照尚未接入,True
600938.SH,中国海洋石油有限公司,中国海油,SSE,30,59.49,provisional_include,历史能源样本且当前仍正常上市,False
600803.SH,新奥天然气股份有限公司,新奥股份,SSE,31,58.71,provisional_include,历史能源样本且当前仍正常上市,False
301327.SZ,深圳市华宝新能源股份有限公司,华宝新能,SZSE,32,58.28,provisional_include,历史能源样本且当前仍正常上市,False
01621.HK,域高国际控股有限公司,,HKEX,33,58.1,pending_snapshot,HKEX官方快照尚未接入,True
300569.SZ,青岛天能重工股份有限公司,天能重工,SZSE,34,58.01,provisional_include,历史能源样本且当前仍正常上市,False
688303.SH,新疆大全新能源股份有限公司,大全能源,SSE,35,57.92,provisional_include,历史能源样本且当前仍正常上市,False
600821.SH,金开新能源股份有限公司,金开新能,SSE,36,57.56,provisional_include,历史能源样本且当前仍正常上市,False
002851.SZ,深圳麦格米特电气股份有限公司,麦格米特,SZSE,37,57.45,provisional_include,历史能源样本且当前仍正常上市,False
600968.SH,中海油能源发展股份有限公司,海油发展,SSE,38,57.37,provisional_include,历史能源样本且当前仍正常上市,False
300750.SZ,宁德时代新能源科技股份有限公司,宁德时代,SZSE,39,57.03,provisional_include,历史能源样本且当前仍正常上市,False
000155.SZ,四川省新能源动力股份有限公司,川能动力,SZSE,40,56.79,provisional_include,历史能源样本且当前仍正常上市,False
01407.HK,交运燃气有限公司,,HKEX,41,56.01,pending_snapshot,HKEX官方快照尚未接入,True
002506.SZ,协鑫集成科技股份有限公司,协鑫集成,SZSE,42,55.84,provisional_include,历史能源样本且当前仍正常上市,False
688063.SH,上海派能能源科技股份有限公司,派能科技,SSE,43,55.65,provisional_include,历史能源样本且当前仍正常上市,False
601012.SH,隆基绿能科技股份有限公司,隆基绿能,SSE,44,55.63,provisional_include,历史能源样本且当前仍正常上市,False
002202.SZ,金风科技股份有限公司,金风科技,SZSE,45,55.25,provisional_include,历史能源样本且当前仍正常上市,False
01733.HK,易大宗控股有限公司,,HKEX,46,54.95,pending_snapshot,HKEX官方快照尚未接入,True
00003.HK,香港中华煤气有限公司,,HKEX,47,54.78,pending_snapshot,HKEX官方快照尚未接入,True
003816.SZ,中国广核电力股份有限公司,中国广核,SZSE,48,54.62,provisional_include,历史能源样本且当前仍正常上市,False
601126.SH,北京四方继保自动化股份有限公司,四方股份,SSE,49,53.92,provisional_include,历史能源样本且当前仍正常上市,False
00579.HK,北京京能清洁能源电力股份有限公司,,HKEX,50,53.61,pending_snapshot,HKEX官方快照尚未接入,True
000862.SZ,宁夏银星能源股份有限公司,银星能源,SZSE,51,53.42,provisional_include,历史能源样本且当前仍正常上市,False
300014.SZ,惠州亿纬锂能股份有限公司,亿纬锂能,SZSE,52,53.32,provisional_include,历史能源样本且当前仍正常上市,False
600188.SH,兖矿能源集团股份有限公司,兖矿能源,SSE,53,53.23,provisional_include,历史能源样本且当前仍正常上市,False
601877.SH,浙江正泰电器股份有限公司,正泰电器,SSE,54,53.22,provisional_include,历史能源样本且当前仍正常上市,False
003035.SZ,南方电网综合能源股份有限公司,南网能源,SZSE,55,53.21,provisional_include,历史能源样本且当前仍正常上市,False
600312.SH,河南平高电气股份有限公司,平高电气,SSE,56,53.17,provisional_include,历史能源样本且当前仍正常上市,False
02236.HK,惠生工程技术服务有限公司,,HKEX,57,52.81,pending_snapshot,HKEX官方快照尚未接入,True
601857.SH,中国石油天然气股份有限公司,中国石油,SSE,58,52.26,provisional_include,历史能源样本且当前仍正常上市,False
688660.SH,上海电气风电集团股份有限公司,电气风电,SSE,59,52.24,provisional_include,历史能源样本且当前仍正常上市,False
000682.SZ,东方电子股份有限公司,东方电子,SZSE,60,51.99,provisional_include,历史能源样本且当前仍正常上市,False
002249.SZ,中山大洋电机股份有限公司,大洋电机,SZSE,61,51.88,provisional_include,历史能源样本且当前仍正常上市,False
001289.SZ,龙源电力集团股份有限公司,龙源电力,SZSE,62,51.82,provisional_include,历史能源样本且当前仍正常上市,False
00392.HK,北京控股有限公司,,HKEX,63,51.51,pending_snapshot,HKEX官方快照尚未接入,True
601088.SH,中国神华能源股份有限公司,中国神华,SSE,64,51.27,provisional_include,历史能源样本且当前仍正常上市,False
601898.SH,中国中煤能源股份有限公司,中煤能源,SSE,65,51.01,provisional_include,历史能源样本且当前仍正常上市,False
